play,act,scene,speaker,original_sentence,pronoun,resolved_to,resolved_sentence,gender_group,resolution_source
THE TRAGEDY OF ROMEO AND JULIET,1,1,BENVOLIO,"I drew to part them, in the instant came The fiery Tybalt, with his sword prepar'd, Which, as he breath'd defiance to my",he,MONTAGUE,"I drew to part them, in the instant came The fiery Tybalt, with his sword prepar'd, Which, as MONTAGUE breath'd defiance",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,BENVOLIO,"I drew to part them, in the instant came The fiery Tybalt, with his sword prepar'd, Which, as he breath'd defiance to my",He,MONTAGUE,"I drew to part them, in the instant came The fiery Tybalt, with his sword prepar'd, Which, as MONTAGUE breath'd defiance",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,BENVOLIO,"I drew to part them, in the instant came The fiery Tybalt, with his sword prepar'd, Which, as he breath'd defiance to my",him,MONTAGUE,"I drew to part them, in the instant came The fiery Tybalt, with his sword prepar'd, Which, as MONTAGUE breath'd defiance",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,BENVOLIO,"Towards him I made, but he was ware of me, And stole into the covert of the wood.",him,MONTAGUE,"Towards MONTAGUE I made, but he was ware of me, And stole into the covert of the wood.",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,BENVOLIO,"Towards him I made, but he was ware of me, And stole into the covert of the wood.",he,MONTAGUE,"Towards MONTAGUE I made, but MONTAGUE was ware of me, And stole into the covert of the wood.",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Many a morning hath he there been seen, With tears augmenting the fresh morning's dew, Adding to clouds more clouds with",he,ROMEO,"Many a morning hath ROMEO there been seen, With tears augmenting the fresh morning's dew, Adding to clouds more clouds w",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Many a morning hath he there been seen, With tears augmenting the fresh morning's dew, Adding to clouds more clouds with",himself,ROMEO,"Many a morning hath ROMEO there been seen, With tears augmenting the fresh morning's dew, Adding to clouds more clouds w",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Many a morning hath he there been seen, With tears augmenting the fresh morning's dew, Adding to clouds more clouds with",himself,ROMEO,"Many a morning hath ROMEO there been seen, With tears augmenting the fresh morning's dew, Adding to clouds more clouds w",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,I neither know it nor can learn of him.,him,ROMEO,I neither know it nor can learn of ROMEO.,male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,BENVOLIO,Have you importun'd him by any means?,him,MONTAGUE,Have you importun'd MONTAGUE by any means?,male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Both by myself and many other friends; But he, his own affections' counsellor, Is to himself—I will not say how true— Bu",he,ROMEO,"Both by myself and many other friends; But ROMEO, his own affections' counsellor, Is to himself—I will not say how true—",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Both by myself and many other friends; But he, his own affections' counsellor, Is to himself—I will not say how true— Bu",himself,ROMEO,"Both by myself and many other friends; But ROMEO, his own affections' counsellor, Is to ROMEO—I will not say how true— B",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Both by myself and many other friends; But he, his own affections' counsellor, Is to himself—I will not say how true— Bu",himself,ROMEO,"Both by myself and many other friends; But ROMEO, his own affections' counsellor, Is to ROMEO—I will not say how true— B",male,relationship-graph
THE TRAGEDY OF ROMEO AND JULIET,1,1,MONTAGUE,"Both by myself and many other friends; But he, his own affections' counsellor, Is to himself—I will not say how true— Bu",he,ROMEO,"Both by myself and many other friends; But ROMEO, his own affections' counsellor, Is to ROMEO—I will not say how true— B",male,relationship-graph
