play,act,scene,speaker,original_sentence,pronoun,resolved_to,resolved_sentence,gender_group,resolution_source
MACBETH,1,2,DUNCAN,"He can report, As seemeth by his plight, of the revolt The newest state.",He,MALCOLM,"MALCOLM can report, As seemeth by his plight, of the revolt The newest state.",male,relationship-graph
MACBETH,1,2,DUNCAN,"So well thy words become thee as thy wounds: They smack of honour both.—Go, get him surgeons.",him,MALCOLM,"So well thy words become thee as thy wounds: They smack of honour both.—Go, get MALCOLM surgeons.",male,relationship-graph
MACBETH,1,2,ROSS,"Norway himself, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confl",himself,DUNCAN,"Norway DUNCAN, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confli",male,relationship-graph
MACBETH,1,2,ROSS,"Norway himself, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confl",him,DUNCAN,"Norway DUNCAN, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confli",male,relationship-graph
MACBETH,1,2,ROSS,"That now Sweno, the Norways' king, craves composition; Nor would we deign him burial of his men Till he disbursed at Sai",him,DUNCAN,"That now Sweno, the Norways' king, craves composition; Nor would we deign DUNCAN burial of his men Till he disbursed at ",male,relationship-graph
MACBETH,1,2,ROSS,"That now Sweno, the Norways' king, craves composition; Nor would we deign him burial of his men Till he disbursed at Sai",he,DUNCAN,"That now Sweno, the Norways' king, craves composition; Nor would we deign DUNCAN burial of his men Till DUNCAN disbursed",male,relationship-graph
MACBETH,1,2,DUNCAN,"What he hath lost, noble Macbeth hath won.",he,MALCOLM,"What MALCOLM hath lost, noble Macbeth hath won.",male,relationship-graph
MACBETH,1,3,BANQUO,"My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That he seems rapt",he,FLEANCE,"My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That FLEANCE seems",male,relationship-graph
MACBETH,1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",he,DUNCAN,"when DUNCAN reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thin",male,relationship-graph
MACBETH,1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",He,DUNCAN,"when DUNCAN reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thin",male,relationship-graph
