play,act,scene,speaker,original_sentence,pronoun,resolved_to,resolved_sentence,gender_group,resolution_source
A MIDSUMMER NIGHT'S DREAM,1,1,THESEUS,"She lingers my desires, Like to a step-dame or a dowager, Long withering out a young man's revenue.",She,HIPPOLYTA,"HIPPOLYTA lingers my desires, Like to a step-dame or a dowager, Long withering out a young man's revenue.",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,EGEUS,"My noble lord, This man hath my consent to marry her.",her,HERMIA,"My noble lord, This man hath my consent to marry HERMIA.",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,EGEUS,"And, my gracious Duke, Be it so she will not here before your grace Consent to marry with Demetrius, I beg the ancient p",she,HERMIA,"And, my gracious Duke, Be it so HERMIA will not here before your grace Consent to marry with Demetrius, I beg the ancien",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,EGEUS,"And, my gracious Duke, Be it so she will not here before your grace Consent to marry with Demetrius, I beg the ancient p",she,HERMIA,"And, my gracious Duke, Be it so HERMIA will not here before your grace Consent to marry with Demetrius, I beg the ancien",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,EGEUS,"And, my gracious Duke, Be it so she will not here before your grace Consent to marry with Demetrius, I beg the ancient p",her,HERMIA,"And, my gracious Duke, Be it so HERMIA will not here before your grace Consent to marry with Demetrius, I beg the ancien",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,EGEUS,"Scornful Lysander, true, he hath my love; And what is mine my love shall render him; And she is mine, and all my right o",she,HERMIA,"Scornful Lysander, true, he hath my love; And what is mine my love shall render him; And HERMIA is mine, and all my righ",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,EGEUS,"Scornful Lysander, true, he hath my love; And what is mine my love shall render him; And she is mine, and all my right o",her,HERMIA,"Scornful Lysander, true, he hath my love; And what is mine my love shall render him; And HERMIA is mine, and all my righ",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,LYSANDER,"Demetrius, I'll avouch it to his head, Made love to Nedar's daughter, Helena, And won her soul; and she, sweet lady, dot",she,HERMIA,"Demetrius, I'll avouch it to his head, Made love to Nedar's daughter, Helena, And won her soul; and HERMIA, sweet lady, ",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,LYSANDER,"I have a widow aunt, a dowager Of great revenue, and she hath no child.",she,HERMIA,"I have a widow aunt, a dowager Of great revenue, and HERMIA hath no child.",female,relationship-graph
A MIDSUMMER NIGHT'S DREAM,1,1,LYSANDER,"From Athens is her house remote seven leagues, And she respects me as her only son.",she,HERMIA,"From Athens is her house remote seven leagues, And HERMIA respects me as her only son.",female,relationship-graph
