entity,label,count
BENEDICK,PERSON,133
PEDRO,PERSON,120
CLAUDIO,ORG,104
NURSE,GPE,87
Romeo,ORG,74
Claudio,PERSON,73
CAPULET,ORG,68
one,CARDINAL,67
Benedick,PERSON,66
FIRST,ORDINAL,58
two,CARDINAL,50
DON,PERSON,48
Lysander,PERSON,47
Juliet,PERSON,45
JOHN,PERSON,45
DEMETRIUS,ORG,43
MALCOLM,PERSON,40
ROSS,PERSON,39
QUINCE,PERSON,38
Pyramus,PERSON,37
first,ORDINAL,35
Paris,GPE,34
tonight,TIME,32
Hero,ORG,30
tomorrow,DATE,30
night,TIME,30
OBERON,PERSON,29
Romeo,PERSON,28
Hermia,PERSON,26
THESEUS,PERSON,26
JULIET,PERSON,25
Beatrice,PERSON,24
Helena,ORG,24
PARIS,GPE,23
Demetrius,ORG,23
Banquo,PERSON,22
One,CARDINAL,22
Mercutio,PERSON,22
TITANIA,ORG,22
BENVOLIO,PERSON,21
Athens,GPE,20
Cupid,ORG,20
Margaret,PERSON,20
Macduff,PERSON,20
Don Pedro,PERSON,19
three,CARDINAL,19
May,DATE,19
Duncan,PERSON,18
DUNCAN,PERSON,18
Malcolm,PERSON,18
Don John,PERSON,17
Yea,PERSON,17
the day,DATE,17
Capulet,PERSON,17
Beatrice,ORG,17
morrow,DATE,17
Leonato,PERSON,17
Grace,PERSON,16
Demetrius,PERSON,16
Athenian,NORP,16
Montague,GPE,15
MESSENGER,PERSON,15
Hermia,GPE,15
HERO,ORG,14
Thursday,DATE,13
Farewell,PERSON,13
Mantua,GPE,13
this night,TIME,13
Puck,PERSON,13
MONTAGUE,DATE,12
Ross,PERSON,12
Lennox,PERSON,12
Oberon,PERSON,12
Two,CARDINAL,12
Nurse,PERSON,12
Scotland,GPE,11
Peter,PERSON,11
Lawrence,PERSON,11
THESEUS,ORG,11
Love,WORK_OF_ART,11
GENTLEWOMAN,PERSON,11
Benvolio,PERSON,11
half,CARDINAL,11
SIWARD,ORG,11
Rosaline,PERSON,10
second,ORDINAL,10
Donalbain,PERSON,10
is’t,ORG,10
HERMIA,ORG,10
Ursula,PERSON,10
Hero,PERSON,10
the night,TIME,9
Helen,PERSON,9
MUSICIAN,PERSON,9
twenty,CARDINAL,9
Leonato,GPE,9
Dost,PERSON,9
Messina,GPE,9
Balthasar,PERSON,9
Wilt,PERSON,8
Peter Quince,PERSON,8
nine,CARDINAL,8
PETER,PERSON,8
Conrade,PERSON,8
England,GPE,8
Lady Macbeth,PERSON,8
Whither,PERSON,8
Is’t,ORG,8
Tomorrow,DATE,8
Titania,PRODUCT,7
Tybalt,PERSON,7
MARGARET,PERSON,7
Verona,PERSON,7
Sweet,PERSON,7
First,ORDINAL,7
Pyramus,ORG,7
John,PERSON,7
lov’d,PERSON,7
DON,ORG,6
Egeus,PERSON,6
Antonio,GPE,6
Montague,PERSON,6
PHILOSTRATE,PERSON,6
the County,GPE,6
Thane,GPE,6
today,DATE,6
FIRST WATCH,ORG,6
Bottom,PERSON,6
Lady Capulet,PERSON,6
Titania,ORG,6
Macbeth,PERSON,6
this day,DATE,6
ten,CARDINAL,6
bush,PERSON,6
Friar,PRODUCT,6
Seyton,PERSON,6
Sirrah,PERSON,5
Siward,PERSON,5
five,CARDINAL,5
an hour,TIME,5
four,CARDINAL,5
Nature,WORK_OF_ART,5
Hero,PRODUCT,5
Alarums,PERSON,5
English,LANGUAGE,5
Angus,PERSON,5
GREGORY,PERSON,5
SEYTON,PERSON,5
French,NORP,5
Glamis,PERSON,5
Verona,GPE,5
last night,TIME,5
PETER,ORG,5
Prince,PERSON,5
Philostrate,PERSON,5
Hercules,PERSON,5
Venus,PRODUCT,5
Montagues,PERSON,4
Romeo,PRODUCT,4
Italy,GPE,4
morning,TIME,4
Borachio,GPE,4
holp,PERSON,4
Moon,PERSON,4
ANGUS,ORG,4
Jack,PERSON,4
Peaseblossom,ORG,4
Tonight,TIME,4
beshrew,PERSON,4
this morning,TIME,4
look’d,PERSON,4
twelve,CARDINAL,4
the morning,TIME,4
Hecate,ORG,4
Jove,PERSON,4
third,ORDINAL,4
PEASEBLOSSOM,ORG,4
Exit Servant,PERSON,4
Hippolyta,ORG,4
STARVELING,ORG,4
Friar,LANGUAGE,4
Lady,PERSON,4
fourteen,DATE,4
MUSTARDSEED,ORG,4
midnight,TIME,4
Cousins,PERSON,4
The day,DATE,3
Three,CARDINAL,3
Lest,PERSON,3
Lords,ORG,3
Sweet Prince,PERSON,3
every day,DATE,3
Swifter,PERSON,3
Leonato,ORG,3
Jule,PERSON,3
Tarry,PERSON,3
This night,TIME,3
nightly,TIME,3
Indian,NORP,3
Adieu,PERSON,3
eight,CARDINAL,3
Adam,PERSON,3
this afternoon,TIME,3
Troth,PERSON,3
Starveling,GPE,3
COBWEB,ORG,3
Birnam,GPE,3
Dian,PERSON,3
thousand,CARDINAL,3
Fortune,WORK_OF_ART,3
CAITHNESS,PERSON,3
CHORUS,ORG,3
Robin,PERSON,3
Beshrew,PERSON,3
DONALBAIN,PERSON,3
Wall,PERSON,3
Friar Francis,PERSON,3
Queen,PERSON,3
Wednesday,DATE,3
this hour,TIME,3
Norweyan,NORP,3
SECOND,DATE,3
Ninny,PERSON,3
EGEUS,ORG,3
lulla,PERSON,3
Time,ORG,3
Enter Macbeth,WORK_OF_ART,3
unaccustom’d,ORG,3
summer,DATE,3
ten thousand,CARDINAL,3
Monday,DATE,3
Tut,PERSON,3
tomorrow night,TIME,3
Gregory,PERSON,3
knell,PERSON,3
Hautboys,PERSON,2
gore,PERSON,2
Hero,WORK_OF_ART,2
Ireland,GPE,2
half an hour,TIME,2
kerns,GPE,2
Hermia,ORG,2
ho,PERSON,2
Procrus,PERSON,2
fie,ORG,2
Robin Starveling,PERSON,2
Peaseblossom,PERSON,2
Ye,PERSON,2
Philomel,PERSON,2
Potpan,PERSON,2
Prince John,PERSON,2
Whate’er,PERSON,2
Prologue,ORG,2
Was’t,PERSON,2
Quince,PERSON,2
Villain,PERSON,2
Saint Peter’s Church,ORG,2
a month,DATE,2
Scone,ORG,2
Tuesday,DATE,2
Sexton,PERSON,2
Sparta,GPE,2
Susan,PERSON,2
Sweet Hero,PERSON,2
Thou,NORP,2
Takes,PERSON,2
Tartar,PRODUCT,2
Thane,PERSON,2
Pale,ORG,2
a thousand ducats,MONEY,2
fairyland,GPE,2
Macduff,ORG,2
evening,TIME,2
eleven years,DATE,2
Lady Beatrice,PERSON,2
Lady Montague,PERSON,2
defil’d,GPE,2
Lo,PERSON,2
MAN,GPE,2
MERCUTIO,PERSON,2
Mab,PERSON,2
Macduff,GPE,2
braggart,PERSON,2
a thousand pound,QUANTITY,2
Mark,PERSON,2
Master Constable,PERSON,2
Misshapen,PERSON,2
awak’d,PERSON,2
Moth,PERSON,2
Neptune,LOC,2
Nick Bottom,PERSON,2
a week,DATE,2
Norway,GPE,2
Nurse,ORG,2
a thousand,CARDINAL,2
Ho,PERSON,2
The spring,DATE,2
Bergomask,PERSON,2
Ethiope,LOC,2
Europa,LOC,2
Evermore,PERSON,2
Exeunt Dogberry and Verges,WORK_OF_ART,2
Caithness,ORG,2
COUSIN,DATE,2
Birnam,PERSON,2
Exit Lysander,PERSON,2
Christian,NORP,2
Beg,PERSON,2
Attendants,PERSON,2
Exit Philostrate,PERSON,2
Exit Puck,PERSON,2
FLEANCE,PERSON,2
Fair Helena,ORG,2
Arragon,GPE,2
Ercles,PERSON,2
sixth,ORDINAL,2
Anthony,PERSON,2
that day,DATE,2
the hornèd moon,PERSON,2
Doth,PERSON,2
the hour,TIME,2
the hours,TIME,2
Descends,PERSON,2
the Fairy Queen,WORK_OF_ART,2
that hour,TIME,2
East,LOC,2
Enter Nurse,ORG,2
ten nights,TIME,2
Crete,GPE,2
Enter Demetrius,ORG,2
thirdly,ORDINAL,2
Enter Helena,ORG,2
Constable,PERSON,2
Enter Montague,ORG,2
Antonio,PERSON,2
Exit Demetrius,PERSON,2
many days,DATE,2
years,DATE,2
winter,DATE,2
Glamis,GPE,2
"Angus,",ORG,2
Fleance,ORG,2
Friar,PERSON,2
moonlight,TIME,2
was’t,PERSON,2
Friar John,PERSON,2
Wink,PERSON,1
Whole,PRODUCT,1
yellow chapless skulls,PERSON,1
Will,PERSON,1
yesterday,DATE,1
Throttle,ORG,1
This day,DATE,1
Witches,PERSON,1
Withdraw,ORG,1
Wives,WORK_OF_ART,1
thine eyne,PERSON,1
thine eyes,GPE,1
Worm,PERSON,1
Worthy Macbeth,PERSON,1
Witch,PERSON,1
Thisne,ORG,1
thirty years,DATE,1
the ‘Hundred Merry Tales,EVENT,1
Wedded,PERSON,1
wolvish-ravening,TIME,1
this twelvemonth,DATE,1
this three hours,TIME,1
working days,DATE,1
this seven years,DATE,1
this many hundred years,DATE,1
this good day,DATE,1
Wert,PERSON,1
this evening,TIME,1
this a quarter,DATE,1
thirty-one,CARDINAL,1
Whipp’d,PERSON,1
Whistle,PERSON,1
Whiter,PERSON,1
Wrack’d,PERSON,1
Yonder,PERSON,1
the year,DATE,1
Thessalian,NORP,1
the middle summer’s spring,DATE,1
Thine,PERSON,1
the least a month,DATE,1
Thine,NORP,1
the last of December,DATE,1
a minute,TIME,1
Thessaly,NORP,1
— Lady Macbeth,PERSON,1
the palace gate,FAC,1
a summer’s day,DATE,1
Thebes,GPE,1
the highmost hill,ORG,1
the gentle day,DATE,1
the frowning night,TIME,1
the fresh morning,TIME,1
the days of the year,DATE,1
the next night,TIME,1
a mile,QUANTITY,1
this two days,DATE,1
You’ll rue,WORK_OF_ART,1
Young Abraham Cupid,PERSON,1
the watery moon,LOC,1
This afternoon,TIME,1
