act,scene,location,entity_text,label,label_description
1,1,An open Place.,THIRD,PERSON,"People, including fictional"
1,1,An open Place.,the heath,LOCATION,LOCATION
1,1,An open Place.,THIRD,PERSON,"People, including fictional"
1,1,An open Place.,Macbeth,PERSON,"People, including fictional"
1,1,An open Place.,Graymalkin,PERSON,"People, including fictional"
1,1,An open Place.,THIRD,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Alarum,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Duncan,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Malcolm,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Donalbain,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Lennox,PERSON,"People, including fictional"
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional"
1,2,A Camp near Forres.,SOLDIER,PERSON,"People, including fictional"
1,2,A Camp near Forres.,the Western,LOCATION,LOCATION
1,2,A Camp near Forres.,Macbeth,PERSON,"People, including fictional"
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,SOLDIER,PERSON,"People, including fictional"
1,2,A Camp near Forres.,King of Scotland,TITLE,TITLE
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Macbeth,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Banquo,PERSON,"People, including fictional"
1,2,A Camp near Forres.,SOLDIER,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Golgotha,PERSON,"People, including fictional"
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Ross,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Angus,PERSON,"People, including fictional"
1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Ross,PERSON,"People, including fictional"
1,2,A Camp near Forres.,LENNOX,PERSON,"People, including fictional"
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional"
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional"
